gecko_id,Base,+Size,+Liquidity,+Tech,+Quality
COIN,0.08543688783290246,0.057068532335594606,0.05784019994485862,0.05640143637526374,0.06697222251122552
CRCL,0.05593703124315627,0.022181878792387012,0.02238932631254851,0.02110158739941972,0.03107748840052283
HOOD,0.10320521530932086,0.07074958887201833,0.06977047374259286,0.06926345044915175,0.05962800087664977
MSTR,0.09104347422390217,0.14999999999999997,0.15,0.15,0.13150366733617727
binancecoin,0.006868174577972134,0.09999999999999998,0.1,0.1,0.09639102116838257
bitcoin,0.31343799764199426,0.3783877106519247,0.41081391757069413,0.37873877057232935,0.3650469896598876
chainlink,0.019992931162689107,0.016419462824099753,0.017803600629321775,0.012312405376032037,0.017569402049260992
ethereum,0.16516002501591642,0.021612289348075134,0.02186758464869942,0.021261229427670694,0.05584184634246965
hyperliquid,0.047415366842247814,0.03288617320412211,0.034340414005074586,0.09593060490731928,0.04530206939873567
morpho,0.012067758468321607,0.01824760149222044,0.01662259160824054,0.01842184053398093,0.02475140066078056
sky,0.012084778803122642,0.08234457552530101,0.045650871695830555,0.0328987442416148,0.04353187120271116
solana,0.05639316596810293,0.01604974410108127,0.018492966896655114,0.013659324513468065,0.020341768269012548
uniswap,0.017614074013230903,0.014052442853175473,0.01433447681355351,0.010010606203749644,0.022042252124183984
venice-token,0.0,0.009999999999999998,0.01,0.01,0.01
zcash,0.013343118897120244,0.009999999999999998,0.010073576131930427,0.010000000000000002,0.01
